epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
31,21682.1,1.16498,0.83666,1.15872,0.71586,0.60303,0.67222,0.45861,1.23333,0.94712,1.3069,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
32,22357.7,1.18003,0.83527,1.1549,0.71875,0.60207,0.67261,0.4593,1.23145,0.94496,1.30577,0.0253965,0.0084655,0.0253965,0.0084655,0.0253965,0.0084655,0.0253965,0.0084655
33,23035.4,1.17681,0.83767,1.16424,0.72005,0.60137,0.67329,0.4599,1.22941,0.94179,1.30654,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
34,23709.3,1.16804,0.83053,1.15477,0.71905,0.60351,0.67385,0.46066,1.22718,0.93887,1.30565,0.0250995,0.0083665,0.0250995,0.0083665,0.0250995,0.0083665,0.0250995,0.0083665
35,24387.7,1.18211,0.83665,1.15673,0.71853,0.60468,0.67457,0.46149,1.22601,0.93793,1.3055,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
36,25067.7,1.1737,0.82502,1.14877,0.71993,0.60518,0.67523,0.46218,1.22547,0.93651,1.30489,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675
37,25746.6,1.15562,0.8177,1.14776,0.72066,0.60554,0.67557,0.46236,1.22491,0.93582,1.30392,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
38,26423.7,1.16137,0.81945,1.15043,0.72177,0.60516,0.67599,0.4627,1.2243,0.93445,1.30315,0.0245055,0.0081685,0.0245055,0.0081685,0.0245055,0.0081685,0.0245055,0.0081685
39,27100.4,1.15584,0.81844,1.14758,0.72282,0.60525,0.67672,0.46337,1.22326,0.93272,1.30215,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
40,27778.6,1.17055,0.82296,1.1492,0.72236,0.60661,0.67739,0.46395,1.22241,0.93127,1.3019,0.0242085,0.0080695,0.0242085,0.0080695,0.0242085,0.0080695,0.0242085,0.0080695
41,28453.4,1.15228,0.81191,1.13933,0.72252,0.60715,0.67765,0.4643,1.22131,0.93053,1.3013,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
42,29132.8,1.15927,0.82285,1.14783,0.72313,0.60785,0.67806,0.46471,1.22118,0.92989,1.301,0.0239115,0.0079705,0.0239115,0.0079705,0.0239115,0.0079705,0.0239115,0.0079705
43,29813.6,1.16068,0.82294,1.14988,0.72381,0.60783,0.67831,0.46496,1.22056,0.92953,1.30067,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
44,30494.3,1.14686,0.80804,1.13739,0.72399,0.60829,0.6786,0.46531,1.21997,0.92892,1.30013,0.0236145,0.0078715,0.0236145,0.0078715,0.0236145,0.0078715,0.0236145,0.0078715
45,31172.9,1.14116,0.80416,1.14101,0.72337,0.6094,0.67893,0.46557,1.21959,0.9281,1.29989,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
46,31850.4,1.15321,0.80443,1.13959,0.72311,0.61018,0.6792,0.46584,1.21924,0.92747,1.2997,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725
47,32526.4,1.13636,0.79303,1.12858,0.72308,0.61033,0.68103,0.46623,1.21885,0.92676,1.29951,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
48,33204.6,1.13982,0.80286,1.13839,0.72342,0.61069,0.6813,0.46641,1.21875,0.92628,1.29947,0.0230205,0.0076735,0.0230205,0.0076735,0.0230205,0.0076735,0.0230205,0.0076735
49,33884.3,1.15121,0.80907,1.13918,0.72352,0.61114,0.68173,0.46664,1.21807,0.92596,1.2991,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
50,34565.1,1.13335,0.79228,1.12979,0.7247,0.61056,0.68188,0.46689,1.21757,0.92576,1.29903,0.0227235,0.0075745,0.0227235,0.0075745,0.0227235,0.0075745,0.0227235,0.0075745
51,35241.6,1.13731,0.79088,1.12968,0.72373,0.61182,0.68211,0.4672,1.21711,0.92532,1.2988,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
52,35922,1.13071,0.7847,1.12849,0.72462,0.61157,0.68222,0.46726,1.21671,0.92497,1.29889,0.0224265,0.0074755,0.0224265,0.0074755,0.0224265,0.0074755,0.0224265,0.0074755
53,36595.6,1.13559,0.79384,1.13699,0.72381,0.61285,0.68256,0.46739,1.21632,0.9244,1.29872,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
54,37271.5,1.12647,0.78242,1.12981,0.72362,0.61319,0.68265,0.46771,1.21554,0.92381,1.29831,0.0221295,0.0073765,0.0221295,0.0073765,0.0221295,0.0073765,0.0221295,0.0073765
55,37948.1,1.11671,0.7776,1.1195,0.72288,0.61394,0.68291,0.46788,1.21496,0.92346,1.29798,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
56,38624.6,1.13424,0.78698,1.12599,0.72283,0.61446,0.68306,0.46807,1.21457,0.92277,1.29757,0.0218325,0.0072775,0.0218325,0.0072775,0.0218325,0.0072775,0.0218325,0.0072775
57,39302.9,1.12251,0.77957,1.12274,0.72428,0.61364,0.6833,0.46826,1.21419,0.92248,1.29741,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
58,39983.2,1.11516,0.77747,1.11996,0.72446,0.61374,0.68369,0.46852,1.21386,0.92182,1.29709,0.0215355,0.0071785,0.0215355,0.0071785,0.0215355,0.0071785,0.0215355,0.0071785
59,40659.9,1.12622,0.77769,1.11981,0.72541,0.61342,0.6838,0.46885,1.21372,0.92139,1.29704,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
60,41336.2,1.10919,0.76744,1.11603,0.72557,0.61345,0.68405,0.469,1.21331,0.92058,1.29682,0.0212385,0.0070795,0.0212385,0.0070795,0.0212385,0.0070795,0.0212385,0.0070795
61,42011.1,1.11862,0.77356,1.12311,0.72466,0.61443,0.68426,0.46919,1.21272,0.92021,1.29644,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
62,42684.6,1.12007,0.77578,1.1212,0.72515,0.6145,0.68435,0.46931,1.21244,0.91977,1.29616,0.0209415,0.0069805,0.0209415,0.0069805,0.0209415,0.0069805,0.0209415,0.0069805
63,43359.8,1.1132,0.77449,1.12059,0.72551,0.61483,0.68448,0.46954,1.21226,0.91932,1.29604,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
64,44038.1,1.11346,0.77537,1.12226,0.72551,0.61472,0.68458,0.46964,1.21193,0.91869,1.29608,0.0206445,0.0068815,0.0206445,0.0068815,0.0206445,0.0068815,0.0206445,0.0068815
65,44714.7,1.12644,0.78101,1.12777,0.72576,0.61492,0.68484,0.46978,1.21154,0.9181,1.29587,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
66,45393.6,1.10685,0.76765,1.11952,0.72702,0.61444,0.68505,0.46997,1.21122,0.91747,1.29598,0.0203475,0.0067825,0.0203475,0.0067825,0.0203475,0.0067825,0.0203475,0.0067825
67,46065.5,1.12631,0.77412,1.1243,0.7269,0.61493,0.68515,0.47025,1.21105,0.91722,1.29597,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
68,46744.7,1.10815,0.76839,1.11898,0.72662,0.61535,0.68532,0.47038,1.21092,0.91698,1.29596,0.0200505,0.0066835,0.0200505,0.0066835,0.0200505,0.0066835,0.0200505,0.0066835
69,47423.1,1.11171,0.76739,1.11671,0.72633,0.61576,0.68548,0.47047,1.2109,0.91659,1.29592,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
70,48100.4,1.09476,0.75566,1.11645,0.72459,0.61765,0.68573,0.47055,1.2108,0.91623,1.29613,0.0197535,0.0065845,0.0197535,0.0065845,0.0197535,0.0065845,0.0197535,0.0065845
71,48776.3,1.10526,0.76367,1.11658,0.72658,0.61661,0.68585,0.4707,1.2106,0.91599,1.29615,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
72,49455.6,1.09105,0.74797,1.10576,0.72654,0.61687,0.68597,0.47083,1.21067,0.91543,1.29647,0.0194565,0.0064855,0.0194565,0.0064855,0.0194565,0.0064855,0.0194565,0.0064855
73,50130.9,1.10182,0.75531,1.11132,0.72576,0.61775,0.68615,0.47096,1.21065,0.91489,1.29664,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
74,50808.7,1.08779,0.74624,1.10998,0.7258,0.61771,0.68628,0.47129,1.21047,0.91414,1.29687,0.0191595,0.0063865,0.0191595,0.0063865,0.0191595,0.0063865,0.0191595,0.0063865
75,51483.3,1.08062,0.74035,1.10184,0.72497,0.61847,0.68639,0.47126,1.21032,0.91354,1.29674,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
