epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,1384.54,1.11242,0.85194,1.11643,0.78334,0.65594,0.73725,0.48298,1.02226,0.86758,1.16066,0.0282774,0.0094258,0.0282774,0.0094258,0.0282774,0.0094258,0.0282774,0.0094258
31,1429.97,1.10095,0.83101,1.10555,0.84789,0.66002,0.75429,0.51681,1.02183,0.84287,1.15909,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
32,1474.57,1.06795,0.7699,1.1122,0.73745,0.67434,0.74913,0.49917,1.00918,0.80986,1.13857,0.0281586,0.0093862,0.0281586,0.0093862,0.0281586,0.0093862,0.0281586,0.0093862
33,1520.27,1.0756,0.81929,1.13332,0.85228,0.68996,0.80139,0.55174,0.98092,0.76129,1.12053,0.0280992,0.0093664,0.0280992,0.0093664,0.0280992,0.0093664,0.0280992,0.0093664
34,1565.59,1.0597,0.77928,1.09888,0.83643,0.72597,0.79353,0.54084,0.95558,0.76701,1.08405,0.0280398,0.0093466,0.0280398,0.0093466,0.0280398,0.0093466,0.0280398,0.0093466
35,1610.74,1.04054,0.77559,1.08849,0.81812,0.72025,0.79013,0.5409,0.96276,0.75979,1.10738,0.0279804,0.0093268,0.0279804,0.0093268,0.0279804,0.0093268,0.0279804,0.0093268
36,1655.31,1.02475,0.73614,1.09001,0.85624,0.72923,0.82105,0.57073,0.95625,0.72691,1.11569,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
37,1702.56,1.0283,0.74822,1.10566,0.85909,0.74599,0.83427,0.56817,0.9691,0.7451,1.1054,0.0278616,0.0092872,0.0278616,0.0092872,0.0278616,0.0092872,0.0278616,0.0092872
38,1747.78,1.05137,0.75645,1.07981,0.85934,0.67097,0.79059,0.5377,0.98881,0.75452,1.13268,0.0278022,0.0092674,0.0278022,0.0092674,0.0278022,0.0092674,0.0278022,0.0092674
39,1793.31,1.00174,0.7062,1.0808,0.79301,0.73285,0.79425,0.53311,0.96704,0.77026,1.09548,0.0277428,0.0092476,0.0277428,0.0092476,0.0277428,0.0092476,0.0277428,0.0092476
40,1837.42,1.07367,0.77703,1.09989,0.79312,0.74714,0.80033,0.55419,0.94343,0.69566,1.10558,0.0276834,0.0092278,0.0276834,0.0092278,0.0276834,0.0092278,0.0276834,0.0092278
41,1881.09,0.9804,0.68944,1.06551,0.84187,0.72643,0.81308,0.56808,0.92536,0.73134,1.08523,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
42,1925.09,1.02417,0.71158,1.07674,0.82442,0.72738,0.82114,0.57535,0.91981,0.72278,1.06901,0.0275646,0.0091882,0.0275646,0.0091882,0.0275646,0.0091882,0.0275646,0.0091882
43,1970.3,0.98282,0.70373,1.07403,0.88463,0.68536,0.813,0.55499,0.9493,0.71066,1.09527,0.0275052,0.0091684,0.0275052,0.0091684,0.0275052,0.0091684,0.0275052,0.0091684
44,2013.61,1.02481,0.72677,1.0277,0.8494,0.72912,0.80669,0.56414,0.93461,0.68696,1.07559,0.0274458,0.0091486,0.0274458,0.0091486,0.0274458,0.0091486,0.0274458,0.0091486
45,2057.7,1.00665,0.68602,1.04964,0.85982,0.74632,0.81516,0.56422,0.93661,0.68512,1.09721,0.0273864,0.0091288,0.0273864,0.0091288,0.0273864,0.0091288,0.0273864,0.0091288
46,2101.61,0.99661,0.70759,1.06488,0.85695,0.7199,0.81025,0.55705,0.96343,0.67178,1.10483,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
47,2146.67,0.96024,0.65996,1.07504,0.82996,0.75273,0.82018,0.56662,0.94633,0.71816,1.07691,0.0272676,0.0090892,0.0272676,0.0090892,0.0272676,0.0090892,0.0272676,0.0090892
48,2191.5,1.01226,0.67605,1.05378,0.86779,0.75852,0.82433,0.571,0.91698,0.67484,1.08082,0.0272082,0.0090694,0.0272082,0.0090694,0.0272082,0.0090694,0.0272082,0.0090694
49,2236.34,0.9883,0.69119,1.06158,0.88932,0.68991,0.81294,0.5635,0.92546,0.69609,1.0678,0.0271488,0.0090496,0.0271488,0.0090496,0.0271488,0.0090496,0.0271488,0.0090496
50,2280.58,0.99233,0.65509,1.08435,0.83551,0.76992,0.82828,0.57546,0.92603,0.68456,1.0696,0.0270894,0.0090298,0.0270894,0.0090298,0.0270894,0.0090298,0.0270894,0.0090298
51,2325.36,0.93908,0.63246,1.07949,0.82446,0.7845,0.83637,0.57604,0.9168,0.63765,1.06793,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
52,2369.37,0.95088,0.6566,1.04607,0.89672,0.76258,0.82902,0.58197,0.9478,0.6551,1.0972,0.0269706,0.0089902,0.0269706,0.0089902,0.0269706,0.0089902,0.0269706,0.0089902
53,2414.22,0.97232,0.63305,1.04233,0.8995,0.74525,0.84297,0.58554,0.90223,0.61525,1.07043,0.0269112,0.0089704,0.0269112,0.0089704,0.0269112,0.0089704,0.0269112,0.0089704
