epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,8731.14,1.32314,0.77825,1.23711,0.71226,0.70043,0.69577,0.37888,1.58531,0.96205,1.51987,0.0282774,0.0094258,0.0282774,0.0094258,0.0282774,0.0094258,0.0282774,0.0094258
31,9014.13,1.31547,0.7662,1.21601,0.70706,0.69113,0.70361,0.38811,1.57864,0.92484,1.5298,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
32,9291.52,1.31641,0.77524,1.22194,0.69048,0.69857,0.69355,0.39427,1.56833,0.95894,1.51746,0.0281586,0.0093862,0.0281586,0.0093862,0.0281586,0.0093862,0.0281586,0.0093862
33,9570.24,1.31281,0.76733,1.22544,0.70385,0.69538,0.69704,0.39312,1.56833,0.9411,1.53303,0.0280992,0.0093664,0.0280992,0.0093664,0.0280992,0.0093664,0.0280992,0.0093664
34,9848.25,1.29611,0.75922,1.21338,0.68933,0.69713,0.68966,0.38513,1.56096,0.93617,1.52131,0.0280398,0.0093466,0.0280398,0.0093466,0.0280398,0.0093466,0.0280398,0.0093466
35,10127.1,1.30453,0.75969,1.21651,0.70495,0.6972,0.68978,0.38597,1.5679,0.94023,1.54626,0.0279804,0.0093268,0.0279804,0.0093268,0.0279804,0.0093268,0.0279804,0.0093268
36,10419.8,1.30371,0.75381,1.21612,0.67061,0.71836,0.69988,0.39321,1.55625,0.91316,1.53138,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
37,10710.8,1.29367,0.75241,1.2081,0.69276,0.69952,0.69513,0.38606,1.55828,0.93384,1.52412,0.0278616,0.0092872,0.0278616,0.0092872,0.0278616,0.0092872,0.0278616,0.0092872
38,11006.3,1.28605,0.75041,1.21169,0.70321,0.68438,0.68874,0.38787,1.56345,0.93682,1.53378,0.0278022,0.0092674,0.0278022,0.0092674,0.0278022,0.0092674,0.0278022,0.0092674
39,11296.9,1.29546,0.74768,1.19877,0.72401,0.69563,0.69878,0.39461,1.56325,0.94337,1.51664,0.0277428,0.0092476,0.0277428,0.0092476,0.0277428,0.0092476,0.0277428,0.0092476
40,11579.6,1.27571,0.74653,1.19376,0.74662,0.69006,0.70209,0.39361,1.57071,0.92539,1.52936,0.0276834,0.0092278,0.0276834,0.0092278,0.0276834,0.0092278,0.0276834,0.0092278
41,11858.5,1.26694,0.73905,1.19812,0.71242,0.71686,0.70633,0.39138,1.57814,0.91558,1.53252,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
42,12150.8,1.271,0.7427,1.20309,0.70558,0.70336,0.70064,0.38452,1.56056,0.92228,1.53777,0.0275646,0.0091882,0.0275646,0.0091882,0.0275646,0.0091882,0.0275646,0.0091882
43,12451,1.27337,0.73568,1.19854,0.68681,0.69882,0.68739,0.38298,1.56393,0.92139,1.53053,0.0275052,0.0091684,0.0275052,0.0091684,0.0275052,0.0091684,0.0275052,0.0091684
44,12726.9,1.25635,0.73098,1.19165,0.71621,0.69692,0.70404,0.40142,1.55038,0.91331,1.50372,0.0274458,0.0091486,0.0274458,0.0091486,0.0274458,0.0091486,0.0274458,0.0091486
45,13002.7,1.25536,0.72722,1.18269,0.71186,0.70744,0.71134,0.40498,1.54838,0.9013,1.51782,0.0273864,0.0091288,0.0273864,0.0091288,0.0273864,0.0091288,0.0273864,0.0091288
46,13278.2,1.25746,0.72694,1.18959,0.73895,0.7129,0.71467,0.39862,1.55771,0.90313,1.53544,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
47,13556.7,1.24659,0.72403,1.17947,0.71232,0.71566,0.70217,0.39542,1.56189,0.91764,1.52492,0.0272676,0.0090892,0.0272676,0.0090892,0.0272676,0.0090892,0.0272676,0.0090892
48,13848,1.24686,0.72629,1.17906,0.75483,0.69135,0.70769,0.39922,1.55454,0.90951,1.52061,0.0272082,0.0090694,0.0272082,0.0090694,0.0272082,0.0090694,0.0272082,0.0090694
49,14124,1.24676,0.72877,1.18439,0.71992,0.71565,0.70673,0.39356,1.55562,0.91021,1.5264,0.0271488,0.0090496,0.0271488,0.0090496,0.0271488,0.0090496,0.0271488,0.0090496
50,14400.3,1.24382,0.72073,1.1784,0.7706,0.69598,0.71082,0.40419,1.55011,0.90352,1.52119,0.0270894,0.0090298,0.0270894,0.0090298,0.0270894,0.0090298,0.0270894,0.0090298
51,14675.7,1.24658,0.71486,1.18522,0.75113,0.6881,0.7046,0.39991,1.54251,0.91962,1.51671,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
52,14953.5,1.23425,0.71584,1.1814,0.72931,0.70181,0.69663,0.40021,1.54868,0.92655,1.54425,0.0269706,0.0089902,0.0269706,0.0089902,0.0269706,0.0089902,0.0269706,0.0089902
53,15228.5,1.22085,0.70676,1.17191,0.75491,0.68955,0.70569,0.40263,1.54232,0.90946,1.53826,0.0269112,0.0089704,0.0269112,0.0089704,0.0269112,0.0089704,0.0269112,0.0089704
54,15506.4,1.22273,0.70685,1.18012,0.74264,0.69957,0.70319,0.39964,1.54272,0.90951,1.54059,0.0268518,0.0089506,0.0268518,0.0089506,0.0268518,0.0089506,0.0268518,0.0089506
55,15785.1,1.23229,0.70619,1.17638,0.74012,0.68054,0.70822,0.40047,1.54184,0.90159,1.53455,0.0267924,0.0089308,0.0267924,0.0089308,0.0267924,0.0089308,0.0267924,0.0089308
56,16067.1,1.21826,0.69857,1.16966,0.74555,0.69506,0.70903,0.41161,1.54469,0.90587,1.52322,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
57,16349,1.22446,0.70722,1.16306,0.71207,0.72297,0.7019,0.404,1.5424,0.92205,1.51941,0.0266736,0.0088912,0.0266736,0.0088912,0.0266736,0.0088912,0.0266736,0.0088912
58,16624.8,1.22129,0.70498,1.15972,0.71661,0.71648,0.70409,0.40543,1.5473,0.91824,1.52436,0.0266142,0.0088714,0.0266142,0.0088714,0.0266142,0.0088714,0.0266142,0.0088714
59,16900,1.2205,0.71058,1.17312,0.71036,0.71483,0.69628,0.40267,1.53939,0.91587,1.51696,0.0265548,0.0088516,0.0265548,0.0088516,0.0265548,0.0088516,0.0265548,0.0088516
60,17185.5,1.21752,0.69447,1.164,0.69017,0.7136,0.69461,0.39454,1.54037,0.91118,1.52151,0.0264954,0.0088318,0.0264954,0.0088318,0.0264954,0.0088318,0.0264954,0.0088318
61,17460.1,1.21833,0.69591,1.16271,0.6938,0.72144,0.69593,0.39687,1.53696,0.90147,1.5218,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
62,17737.8,1.19834,0.68672,1.15665,0.70072,0.69913,0.69445,0.39621,1.53701,0.90024,1.52476,0.0263766,0.0087922,0.0263766,0.0087922,0.0263766,0.0087922,0.0263766,0.0087922
63,18026.2,1.21083,0.69481,1.15477,0.70538,0.69595,0.6969,0.39064,1.53873,0.90541,1.52073,0.0263172,0.0087724,0.0263172,0.0087724,0.0263172,0.0087724,0.0263172,0.0087724
64,18307.7,1.2079,0.68973,1.14237,0.72054,0.70099,0.69552,0.39211,1.54243,0.9007,1.52407,0.0262578,0.0087526,0.0262578,0.0087526,0.0262578,0.0087526,0.0262578,0.0087526
65,18581.4,1.19696,0.68974,1.14697,0.73189,0.7017,0.7009,0.39283,1.54659,0.89485,1.53807,0.0261984,0.0087328,0.0261984,0.0087328,0.0261984,0.0087328,0.0261984,0.0087328
66,18856.1,1.19484,0.69326,1.14676,0.73705,0.69753,0.70661,0.39149,1.54356,0.90223,1.52799,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
67,19131.5,1.19273,0.68604,1.13601,0.74598,0.6935,0.71388,0.39542,1.54064,0.89627,1.52305,0.0260796,0.0086932,0.0260796,0.0086932,0.0260796,0.0086932,0.0260796,0.0086932
68,19415.6,1.18437,0.68116,1.13913,0.69609,0.71041,0.70616,0.40019,1.53866,0.90479,1.52279,0.0260202,0.0086734,0.0260202,0.0086734,0.0260202,0.0086734,0.0260202,0.0086734
