epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,849.455,1.71002,1.78687,1.52956,0.32555,0.27308,0.22422,0.09913,1.99565,2.35324,1.87374,0.000656037,0.000656037,0.000656037
43,869.719,1.66921,1.73573,1.52749,0.34323,0.26187,0.23561,0.10974,1.97258,2.39023,1.84316,0.000654624,0.000654624,0.000654624
44,889.631,1.68607,1.79365,1.54225,0.40944,0.27277,0.24107,0.10499,1.99267,2.29503,1.84454,0.00065321,0.00065321,0.00065321
45,909.185,1.62173,1.63899,1.47587,0.35587,0.31051,0.25581,0.11492,1.98717,2.25176,1.82772,0.000651796,0.000651796,0.000651796
46,929.737,1.61361,1.67484,1.48582,0.34111,0.30361,0.24632,0.10868,2.00285,2.25441,1.85982,0.000650383,0.000650383,0.000650383
47,949.525,1.62537,1.66297,1.47568,0.42082,0.26743,0.24406,0.10986,2.00932,2.24235,1.86422,0.000648969,0.000648969,0.000648969
48,969.515,1.60129,1.63141,1.4818,0.40812,0.27825,0.26798,0.12161,2.00706,2.20572,1.84425,0.000647555,0.000647555,0.000647555
49,989.864,1.58004,1.6781,1.47026,0.41813,0.27239,0.26813,0.12137,1.95278,2.24188,1.84168,0.000646141,0.000646141,0.000646141
50,1009.92,1.581,1.61178,1.45745,0.33854,0.26597,0.23261,0.10633,1.99807,2.29264,1.83194,0.000644728,0.000644728,0.000644728
51,1030.03,1.60762,1.63313,1.46733,0.36486,0.28152,0.2356,0.1023,1.99399,2.34914,1.84347,0.000643314,0.000643314,0.000643314
52,1049.66,1.56534,1.57218,1.41734,0.34492,0.31781,0.25761,0.11274,1.95949,2.22933,1.80929,0.0006419,0.0006419,0.0006419
53,1069.67,1.55194,1.58659,1.46533,0.39511,0.29738,0.2522,0.11618,1.94979,2.19596,1.82419,0.000640487,0.000640487,0.000640487
54,1089.29,1.55345,1.59717,1.4719,0.34854,0.33556,0.26295,0.1156,1.97492,2.21815,1.86398,0.000639073,0.000639073,0.000639073
55,1108.86,1.56678,1.5863,1.44609,0.34495,0.33381,0.27064,0.12553,1.95477,2.14362,1.82689,0.000637659,0.000637659,0.000637659
56,1129.25,1.56587,1.59145,1.48764,0.39333,0.33139,0.28609,0.12444,1.97438,2.16192,1.88342,0.000636245,0.000636245,0.000636245
57,1148.51,1.52895,1.5241,1.39807,0.40467,0.30941,0.28074,0.12922,1.95117,2.1468,1.83029,0.000634832,0.000634832,0.000634832
58,1168.49,1.53042,1.40259,1.40069,0.41776,0.33555,0.28689,0.12853,1.92532,2.14023,1.80704,0.000633418,0.000633418,0.000633418
59,1188.21,1.55614,1.51873,1.42363,0.37168,0.31516,0.26575,0.11997,1.96958,2.16346,1.83885,0.000632004,0.000632004,0.000632004
60,1208.35,1.54261,1.52625,1.43526,0.38269,0.31793,0.26908,0.12379,1.94442,2.19637,1.80379,0.000630591,0.000630591,0.000630591
61,1228.06,1.5371,1.4479,1.3839,0.37995,0.33343,0.2741,0.12219,1.97345,2.21416,1.87122,0.000629177,0.000629177,0.000629177
62,1247.72,1.55221,1.48956,1.41201,0.36363,0.37936,0.29469,0.13183,1.94478,2.141,1.843,0.000627763,0.000627763,0.000627763
63,1268.11,1.53365,1.52815,1.45366,0.4048,0.30675,0.27208,0.12213,1.92825,2.1518,1.84066,0.000626349,0.000626349,0.000626349
64,1287.99,1.53661,1.41854,1.3759,0.38334,0.31248,0.27423,0.12592,1.91039,2.09376,1.80857,0.000624936,0.000624936,0.000624936
65,1307.7,1.53605,1.49473,1.41631,0.39354,0.33345,0.28456,0.12586,1.92405,2.14221,1.82691,0.000623522,0.000623522,0.000623522
66,1327.27,1.49128,1.50704,1.41939,0.35078,0.32899,0.29326,0.13228,1.92736,2.08083,1.80409,0.000622108,0.000622108,0.000622108
67,1347.53,1.54252,1.53727,1.44358,0.41681,0.3177,0.29735,0.13625,1.90583,2.05297,1.7999,0.000620694,0.000620694,0.000620694
68,1367.72,1.4966,1.43438,1.40507,0.39789,0.36149,0.28209,0.12961,1.95994,2.28378,1.81252,0.000619281,0.000619281,0.000619281
69,1387.17,1.51292,1.47057,1.39168,0.45982,0.33724,0.30509,0.1373,1.9332,2.09454,1.79944,0.000617867,0.000617867,0.000617867
70,1407.51,1.46785,1.46188,1.42197,0.43532,0.36313,0.32869,0.1479,1.90079,2.01835,1.80155,0.000616453,0.000616453,0.000616453
71,1427.45,1.48929,1.37901,1.38318,0.39827,0.33242,0.28863,0.13194,1.96362,2.08715,1.85139,0.00061504,0.00061504,0.00061504
72,1447.25,1.49294,1.4212,1.41846,0.47363,0.32955,0.30397,0.13748,1.94884,2.10831,1.80362,0.000613626,0.000613626,0.000613626
73,1466.79,1.41636,1.40303,1.3647,0.4278,0.33502,0.29772,0.13914,1.92842,2.0917,1.79703,0.000612212,0.000612212,0.000612212
74,1486.31,1.48218,1.44459,1.4024,0.41393,0.31317,0.27089,0.12239,1.963,2.282,1.85767,0.000610798,0.000610798,0.000610798
75,1506.53,1.45007,1.40707,1.36901,0.41592,0.36583,0.30643,0.14165,1.9035,2.02626,1.81669,0.000609385,0.000609385,0.000609385
76,1526.72,1.45712,1.40174,1.3652,0.4509,0.34296,0.31583,0.14401,1.88866,2.02753,1.78462,0.000607971,0.000607971,0.000607971
77,1546.71,1.45048,1.32902,1.36348,0.41835,0.35509,0.31212,0.14738,1.89568,1.98364,1.81954,0.000606557,0.000606557,0.000606557
78,1566.56,1.4389,1.36001,1.38446,0.41218,0.29479,0.28298,0.12956,1.92139,2.15516,1.80309,0.000605144,0.000605144,0.000605144
79,1586.53,1.44375,1.40888,1.38608,0.37363,0.32035,0.28558,0.13246,1.89123,2.1268,1.80587,0.00060373,0.00060373,0.00060373
80,1605.82,1.43326,1.35484,1.37652,0.39902,0.36175,0.31991,0.14787,1.88378,2.06623,1.78926,0.000602316,0.000602316,0.000602316
81,1625.41,1.43238,1.37623,1.37737,0.45924,0.32559,0.31409,0.14357,1.91603,2.03248,1.80885,0.000600902,0.000600902,0.000600902
82,1644.76,1.39505,1.34278,1.36497,0.48099,0.34199,0.30362,0.14599,1.89712,2.07178,1.81399,0.000599489,0.000599489,0.000599489
83,1664.18,1.42175,1.31676,1.3644,0.47491,0.33352,0.31577,0.15349,1.8523,1.96805,1.79716,0.000598075,0.000598075,0.000598075
84,1685.15,1.42076,1.32677,1.331,0.45063,0.36885,0.32816,0.15361,1.91272,2.03297,1.79908,0.000596661,0.000596661,0.000596661
85,1705.59,1.41553,1.3318,1.36332,0.44325,0.38479,0.30735,0.14203,1.89894,2.04776,1.80694,0.000595248,0.000595248,0.000595248
86,1725.48,1.42381,1.30345,1.36148,0.40965,0.40345,0.31969,0.14653,1.90337,2.08816,1.82898,0.000593834,0.000593834,0.000593834
87,1744.88,1.36263,1.23005,1.32008,0.44985,0.35996,0.31805,0.15145,1.90512,2.00228,1.86206,0.00059242,0.00059242,0.00059242
