epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,5058,0.84324,0.55234,0.98009,0.52651,0.47602,0.44076,0.27455,1.14392,0.95172,1.30517,0.0282774,0.0094258,0.0282774,0.0094258,0.0282774,0.0094258,0.0282774,0.0094258
31,5222.76,0.86489,0.5689,0.97887,0.544,0.47195,0.43242,0.26975,1.13451,0.9632,1.28263,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
32,5385.83,0.85088,0.55761,0.97516,0.52189,0.47441,0.44202,0.27592,1.13649,0.93524,1.31024,0.0281586,0.0093862,0.0281586,0.0093862,0.0281586,0.0093862,0.0281586,0.0093862
33,5549.72,0.84215,0.54998,0.97807,0.53177,0.48701,0.44869,0.28,1.14519,0.96235,1.306,0.0280992,0.0093664,0.0280992,0.0093664,0.0280992,0.0093664,0.0280992,0.0093664
34,5712.2,0.85581,0.56566,0.97893,0.55635,0.47135,0.44594,0.27757,1.12881,0.95594,1.30553,0.0280398,0.0093466,0.0280398,0.0093466,0.0280398,0.0093466,0.0280398,0.0093466
35,5874.94,0.87616,0.58361,0.98229,0.54659,0.47205,0.44711,0.27934,1.14276,0.95117,1.29821,0.0279804,0.0093268,0.0279804,0.0093268,0.0279804,0.0093268,0.0279804,0.0093268
36,6036.11,0.85507,0.56496,0.97806,0.53101,0.47156,0.43737,0.2704,1.13951,0.9478,1.30989,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
37,6198.93,0.83246,0.5477,0.97266,0.5626,0.46586,0.43952,0.27468,1.13386,0.95836,1.30007,0.0278616,0.0092872,0.0278616,0.0092872,0.0278616,0.0092872,0.0278616,0.0092872
38,6359.87,0.85468,0.57485,0.98818,0.55179,0.4721,0.44115,0.27468,1.1419,0.95087,1.30009,0.0278022,0.0092674,0.0278022,0.0092674,0.0278022,0.0092674,0.0278022,0.0092674
39,6521.65,0.85049,0.55663,0.9686,0.54105,0.48208,0.43971,0.27542,1.13939,0.93959,1.30408,0.0277428,0.0092476,0.0277428,0.0092476,0.0277428,0.0092476,0.0277428,0.0092476
40,6683.95,0.82981,0.53811,0.96343,0.66722,0.47259,0.45077,0.28052,1.13257,0.94389,1.30276,0.0276834,0.0092278,0.0276834,0.0092278,0.0276834,0.0092278,0.0276834,0.0092278
41,6847.67,0.83243,0.54366,0.96433,0.54157,0.45249,0.43504,0.27316,1.1468,0.95347,1.31211,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
42,7016.08,0.85811,0.55988,0.97592,0.52467,0.48306,0.43755,0.27167,1.13545,0.94743,1.28984,0.0275646,0.0091882,0.0275646,0.0091882,0.0275646,0.0091882,0.0275646,0.0091882
43,7184.85,0.83863,0.54807,0.96794,0.59735,0.47056,0.44342,0.27761,1.13777,0.9497,1.30095,0.0275052,0.0091684,0.0275052,0.0091684,0.0275052,0.0091684,0.0275052,0.0091684
44,7351.06,0.83347,0.55355,0.97763,0.53263,0.48767,0.44822,0.27907,1.13375,0.94259,1.30637,0.0274458,0.0091486,0.0274458,0.0091486,0.0274458,0.0091486,0.0274458,0.0091486
45,7516.27,0.83806,0.5493,0.97184,0.57516,0.48364,0.45903,0.2849,1.13645,0.93067,1.29499,0.0273864,0.0091288,0.0273864,0.0091288,0.0273864,0.0091288,0.0273864,0.0091288
46,7680.26,0.8463,0.55329,0.96835,0.55206,0.50048,0.45533,0.28374,1.13592,0.9523,1.31171,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
47,7842.62,0.84435,0.54648,0.96968,0.57878,0.48789,0.45656,0.28531,1.13016,0.94433,1.29558,0.0272676,0.0090892,0.0272676,0.0090892,0.0272676,0.0090892,0.0272676,0.0090892
48,8004.62,0.84289,0.5549,0.97523,0.55494,0.48048,0.45083,0.28374,1.12719,0.93389,1.29768,0.0272082,0.0090694,0.0272082,0.0090694,0.0272082,0.0090694,0.0272082,0.0090694
49,8167.2,0.84212,0.54357,0.96033,0.56109,0.47699,0.44591,0.28033,1.13069,0.95701,1.2992,0.0271488,0.0090496,0.0271488,0.0090496,0.0271488,0.0090496,0.0271488,0.0090496
50,8329.55,0.83319,0.53942,0.96158,0.55133,0.47334,0.45314,0.28429,1.12669,0.93286,1.30551,0.0270894,0.0090298,0.0270894,0.0090298,0.0270894,0.0090298,0.0270894,0.0090298
51,8493.99,0.81197,0.52263,0.958,0.55361,0.48335,0.44653,0.28151,1.12724,0.94478,1.29834,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
52,8655.47,0.81597,0.52143,0.95708,0.52445,0.48085,0.44604,0.28181,1.12505,0.93801,1.30223,0.0269706,0.0089902,0.0269706,0.0089902,0.0269706,0.0089902,0.0269706,0.0089902
53,8821.33,0.82103,0.52513,0.9604,0.5597,0.48215,0.45181,0.28492,1.12732,0.92514,1.29467,0.0269112,0.0089704,0.0269112,0.0089704,0.0269112,0.0089704,0.0269112,0.0089704
54,8989.77,0.83206,0.5329,0.95462,0.56692,0.48786,0.4515,0.28262,1.13239,0.93669,1.29936,0.0268518,0.0089506,0.0268518,0.0089506,0.0268518,0.0089506,0.0268518,0.0089506
55,9154.9,0.8215,0.52383,0.96063,0.54048,0.48874,0.45284,0.28485,1.11937,0.93856,1.30256,0.0267924,0.0089308,0.0267924,0.0089308,0.0267924,0.0089308,0.0267924,0.0089308
56,9318.88,0.82633,0.53348,0.96598,0.55018,0.49406,0.4587,0.28624,1.12623,0.93894,1.29352,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
57,9483.85,0.8183,0.52533,0.95564,0.57206,0.48202,0.45264,0.28595,1.12821,0.94677,1.30563,0.0266736,0.0088912,0.0266736,0.0088912,0.0266736,0.0088912,0.0266736,0.0088912
58,9653.34,0.80144,0.51662,0.95238,0.55145,0.48729,0.44652,0.28098,1.12239,0.95905,1.29394,0.0266142,0.0088714,0.0266142,0.0088714,0.0266142,0.0088714,0.0266142,0.0088714
59,9822.93,0.82655,0.53494,0.96304,0.55806,0.49171,0.45492,0.28429,1.12354,0.94611,1.30552,0.0265548,0.0088516,0.0265548,0.0088516,0.0265548,0.0088516,0.0265548,0.0088516
60,9986.67,0.82424,0.51859,0.9508,0.56335,0.48475,0.44971,0.28383,1.12356,0.93324,1.29789,0.0264954,0.0088318,0.0264954,0.0088318,0.0264954,0.0088318,0.0264954,0.0088318
61,10149.3,0.80659,0.50932,0.95009,0.54328,0.49825,0.4576,0.29113,1.12102,0.93323,1.29794,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
62,10312.1,0.80875,0.5176,0.95893,0.57835,0.4771,0.45051,0.28745,1.11885,0.93685,1.2935,0.0263766,0.0087922,0.0263766,0.0087922,0.0263766,0.0087922,0.0263766,0.0087922
63,10473.2,0.83536,0.53744,0.96355,0.66381,0.47795,0.45572,0.29165,1.11452,0.92708,1.29138,0.0263172,0.0087724,0.0263172,0.0087724,0.0263172,0.0087724,0.0263172,0.0087724
64,10646.8,0.80744,0.52715,0.96417,0.56135,0.49095,0.45516,0.28932,1.11432,0.92342,1.29033,0.0262578,0.0087526,0.0262578,0.0087526,0.0262578,0.0087526,0.0262578,0.0087526
65,10811.6,0.80474,0.51739,0.95045,0.55154,0.48754,0.45753,0.2906,1.11975,0.92455,1.29831,0.0261984,0.0087328,0.0261984,0.0087328,0.0261984,0.0087328,0.0261984,0.0087328
66,10975.3,0.80896,0.509,0.94963,0.56251,0.50628,0.45483,0.28792,1.12118,0.93514,1.29828,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
67,11138.1,0.82203,0.52976,0.9552,0.58025,0.49652,0.46693,0.29523,1.11356,0.9324,1.29115,0.0260796,0.0086932,0.0260796,0.0086932,0.0260796,0.0086932,0.0260796,0.0086932
68,11301.2,0.79874,0.50503,0.94549,0.57064,0.4787,0.45418,0.28822,1.11534,0.9415,1.29614,0.0260202,0.0086734,0.0260202,0.0086734,0.0260202,0.0086734,0.0260202,0.0086734
69,11469.7,0.82206,0.52253,0.95303,0.55581,0.49095,0.45754,0.29181,1.11562,0.92818,1.29454,0.0259608,0.0086536,0.0259608,0.0086536,0.0259608,0.0086536,0.0259608,0.0086536
70,11637.4,0.81362,0.51677,0.95333,0.65767,0.48532,0.45514,0.28877,1.11443,0.93997,1.29829,0.0259014,0.0086338,0.0259014,0.0086338,0.0259014,0.0086338,0.0259014,0.0086338
71,11805,0.79925,0.5189,0.95345,0.58551,0.47136,0.45184,0.28954,1.11857,0.94211,1.30181,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
72,11968.4,0.80288,0.51517,0.94767,0.56782,0.48345,0.45547,0.28975,1.10862,0.9255,1.30016,0.0257826,0.0085942,0.0257826,0.0085942,0.0257826,0.0085942,0.0257826,0.0085942
73,12131.2,0.78395,0.50552,0.94131,0.55141,0.47956,0.44657,0.28481,1.11687,0.93608,1.30288,0.0257232,0.0085744,0.0257232,0.0085744,0.0257232,0.0085744,0.0257232,0.0085744
74,12294.5,0.79094,0.50668,0.9486,0.64457,0.48743,0.45249,0.28978,1.10906,0.92211,1.30261,0.0256638,0.0085546,0.0256638,0.0085546,0.0256638,0.0085546,0.0256638,0.0085546
75,12462.1,0.79843,0.50664,0.94842,0.67111,0.48604,0.4539,0.29134,1.11361,0.93853,1.29442,0.0256044,0.0085348,0.0256044,0.0085348,0.0256044,0.0085348,0.0256044,0.0085348
76,12629.3,0.78692,0.501,0.94231,0.5632,0.49685,0.45372,0.28957,1.11301,0.93275,1.2963,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
77,12793,0.78351,0.49186,0.94107,0.56293,0.50031,0.45341,0.2901,1.10433,0.93892,1.28109,0.0254856,0.0084952,0.0254856,0.0084952,0.0254856,0.0084952,0.0254856,0.0084952
78,12957.8,0.80721,0.51865,0.94266,0.55523,0.49524,0.45968,0.29335,1.10563,0.93186,1.29111,0.0254262,0.0084754,0.0254262,0.0084754,0.0254262,0.0084754,0.0254262,0.0084754
79,13124.1,0.79911,0.50195,0.94115,0.55537,0.48779,0.45212,0.28704,1.104,0.93391,1.28876,0.0253668,0.0084556,0.0253668,0.0084556,0.0253668,0.0084556,0.0253668,0.0084556
80,13289.2,0.80353,0.5041,0.94059,0.56082,0.48862,0.45575,0.29099,1.10569,0.93423,1.29203,0.0253074,0.0084358,0.0253074,0.0084358,0.0253074,0.0084358,0.0253074,0.0084358
81,13453.8,0.80366,0.50443,0.93996,0.55987,0.49281,0.45573,0.29207,1.10326,0.93205,1.28256,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
82,13626.2,0.79457,0.4992,0.93927,0.66118,0.4916,0.46441,0.29372,1.10107,0.92125,1.29405,0.0251886,0.0083962,0.0251886,0.0083962,0.0251886,0.0083962,0.0251886,0.0083962
83,13792.9,0.78427,0.4955,0.9438,0.56753,0.49575,0.45842,0.29206,1.10073,0.93294,1.29068,0.0251292,0.0083764,0.0251292,0.0083764,0.0251292,0.0083764,0.0251292,0.0083764
84,13964.8,0.8083,0.51401,0.95244,0.5498,0.50045,0.45516,0.28879,1.10213,0.93611,1.29309,0.0250698,0.0083566,0.0250698,0.0083566,0.0250698,0.0083566,0.0250698,0.0083566
85,14131.4,0.78203,0.49201,0.94294,0.58728,0.48117,0.45576,0.28957,1.09795,0.92961,1.28899,0.0250104,0.0083368,0.0250104,0.0083368,0.0250104,0.0083368,0.0250104,0.0083368
86,14302.4,0.80235,0.50174,0.93952,0.56282,0.50373,0.45771,0.29156,1.10825,0.93497,1.30293,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
87,14465.8,0.76831,0.48094,0.93687,0.55684,0.49905,0.45142,0.28641,1.10863,0.95247,1.30222,0.0248916,0.0082972,0.0248916,0.0082972,0.0248916,0.0082972,0.0248916,0.0082972
88,14629.5,0.78608,0.48769,0.93775,0.57787,0.49123,0.4532,0.2876,1.10994,0.93756,1.30272,0.0248322,0.0082774,0.0248322,0.0082774,0.0248322,0.0082774,0.0248322,0.0082774
89,14792.1,0.79044,0.49449,0.93667,0.5908,0.49126,0.45485,0.28892,1.10877,0.93257,1.29877,0.0247728,0.0082576,0.0247728,0.0082576,0.0247728,0.0082576,0.0247728,0.0082576
90,14956.6,0.78332,0.49298,0.94224,0.55111,0.49961,0.45801,0.2923,1.1046,0.92822,1.30028,0.0247134,0.0082378,0.0247134,0.0082378,0.0247134,0.0082378,0.0247134,0.0082378
91,15118.4,0.76981,0.48544,0.93334,0.58512,0.48633,0.45594,0.28952,1.10641,0.93021,1.30709,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
92,15280.6,0.76505,0.47919,0.93234,0.57583,0.49367,0.46383,0.29537,1.10617,0.92828,1.3017,0.0245946,0.0081982,0.0245946,0.0081982,0.0245946,0.0081982,0.0245946,0.0081982
93,15442.7,0.76637,0.48208,0.93495,0.55081,0.50665,0.4592,0.29187,1.10201,0.92894,1.29943,0.0245352,0.0081784,0.0245352,0.0081784,0.0245352,0.0081784,0.0245352,0.0081784
94,15606.9,0.77533,0.48986,0.93822,0.54095,0.49646,0.45589,0.29199,1.10695,0.92877,1.30882,0.0244758,0.0081586,0.0244758,0.0081586,0.0244758,0.0081586,0.0244758,0.0081586
95,15775.9,0.76978,0.48456,0.94121,0.53879,0.50051,0.46098,0.29537,1.10572,0.93192,1.3043,0.0244164,0.0081388,0.0244164,0.0081388,0.0244164,0.0081388,0.0244164,0.0081388
96,15941.7,0.781,0.4854,0.93517,0.62671,0.50511,0.45689,0.29558,1.1035,0.93488,1.30517,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
97,16106.8,0.77246,0.48683,0.93143,0.53655,0.51166,0.45173,0.29242,1.10674,0.9352,1.30248,0.0242976,0.0080992,0.0242976,0.0080992,0.0242976,0.0080992,0.0242976,0.0080992
