archivo,lat,lon,ventanas_detectadas,pisos_detectados
19.401176_-99.170358.jpg,19.401176,-99.170358,4,2
19.401416_-99.170453.jpg,19.401416,-99.170453,3,1
19.401425_-99.170294.jpg,19.401425,-99.170294,10,2
19.401569_-99.170457.jpg,19.401569,-99.170457,2,1
19.401656_-99.170245.jpg,19.401656,-99.170245,21,2
19.401671_-99.170474.jpg,19.401671,-99.170474,6,1
19.401740_-99.170488.jpg,19.40174,-99.170488,4,2
19.401838_-99.170172.jpg,19.401838,-99.170172,15,3
19.401964_-99.170458.jpg,19.401964,-99.170458,11,2
19.401977_-99.170122.jpg,19.401977,-99.170122,6,1
19.402023_-99.169803.jpg,19.402023,-99.169803,3,3
19.402060_-99.170544.jpg,19.40206,-99.170544,5,2
19.402148_-99.170039.jpg,19.402148,-99.170039,0,0
19.402170_-99.170371.jpg,19.40217,-99.170371,7,1
19.402184_-99.170573.jpg,19.402184,-99.170573,7,3
19.402197_-99.170232.jpg,19.402197,-99.170232,5,1
19.402300_-99.170041.jpg,19.4023,-99.170041,9,3
19.402481_-99.170702.jpg,19.402481,-99.170702,4,1
19.402500_-99.170600.jpg,19.4025,-99.1706,7,2
19.402591_-99.170690.jpg,19.402591,-99.17069,17,4
19.402597_-99.170537.jpg,19.402597,-99.170537,1,1
19.402614_-99.170445.jpg,19.402614,-99.170445,18,2
19.402669_-99.170710.jpg,19.402669,-99.17071,28,3
19.402675_-99.170135.jpg,19.402675,-99.170135,35,1
19.402714_-99.169790.jpg,19.402714,-99.16979,0,0
19.402803_-99.169786.jpg,19.402803,-99.169786,26,3
19.402862_-99.169784.jpg,19.402862,-99.169784,31,2
19.402866_-99.170671.jpg,19.402866,-99.170671,9,1
19.402887_-99.170197.jpg,19.402887,-99.170197,16,3
19.402919_-99.169736.jpg,19.402919,-99.169736,6,2
19.402923_-99.169825.jpg,19.402923,-99.169825,5,3
19.402976_-99.169831.jpg,19.402976,-99.169831,12,4
19.402990_-99.169724.jpg,19.40299,-99.169724,12,3
19.403001_-99.170289.jpg,19.403001,-99.170289,17,4
19.403026_-99.169839.jpg,19.403026,-99.169839,16,1
19.403052_-99.170740.jpg,19.403052,-99.17074,19,2
19.403076_-99.169846.jpg,19.403076,-99.169846,20,2
19.403100_-99.169715.jpg,19.4031,-99.169715,8,3
19.403124_-99.169857.jpg,19.403124,-99.169857,32,3
19.403125_-99.170246.jpg,19.403125,-99.170246,27,1
19.403171_-99.170544.jpg,19.403171,-99.170544,53,4
19.403187_-99.170442.jpg,19.403187,-99.170442,26,5
19.403195_-99.170775.jpg,19.403195,-99.170775,19,3
19.403196_-99.169874.jpg,19.403196,-99.169874,35,3
19.403222_-99.170219.jpg,19.403222,-99.170219,8,1
19.403252_-99.170358.jpg,19.403252,-99.170358,12,4
19.403269_-99.169891.jpg,19.403269,-99.169891,26,4
19.403308_-99.169685.jpg,19.403308,-99.169685,14,3
19.403309_-99.170245.jpg,19.403309,-99.170245,13,3
19.403326_-99.169905.jpg,19.403326,-99.169905,5,3
19.403495_-99.170407.jpg,19.403495,-99.170407,0,0
19.403683_-99.170648.jpg,19.403683,-99.170648,5,3
19.403717_-99.170375.jpg,19.403717,-99.170375,0,0
19.403749_-99.169475.jpg,19.403749,-99.169475,4,2
19.403755_-99.170888.jpg,19.403755,-99.170888,0,0
19.403756_-99.169829.jpg,19.403756,-99.169829,28,3
19.403824_-99.169473.jpg,19.403824,-99.169473,11,3
19.403824_-99.170008.jpg,19.403824,-99.170008,12,3
19.403861_-99.170515.jpg,19.403861,-99.170515,7,4
19.403902_-99.171009.jpg,19.403902,-99.171009,14,1
19.403956_-99.169953.jpg,19.403956,-99.169953,16,2
19.403971_-99.170458.jpg,19.403971,-99.170458,12,3
19.404013_-99.171674.jpg,19.404013,-99.171674,8,1
19.404025_-99.169456.jpg,19.404025,-99.169456,15,3
19.404063_-99.171788.jpg,19.404063,-99.171788,5,2
19.404066_-99.170480.jpg,19.404066,-99.17048,9,4
19.404069_-99.170843.jpg,19.404069,-99.170843,0,0
19.404084_-99.171612.jpg,19.404084,-99.171612,12,2
19.404085_-99.170686.jpg,19.404085,-99.170686,19,1
19.404087_-99.171880.jpg,19.404087,-99.17188,6,1
19.404094_-99.171053.jpg,19.404094,-99.171053,11,3
19.404115_-99.171964.jpg,19.404115,-99.171964,0,0
19.404120_-99.171555.jpg,19.40412,-99.171555,17,2
19.404145_-99.172053.jpg,19.404145,-99.172053,11,3
19.404175_-99.172142.jpg,19.404175,-99.172142,13,3
19.404191_-99.172288.jpg,19.404191,-99.172288,6,2
19.404201_-99.169729.jpg,19.404201,-99.169729,8,1
19.404203_-99.170589.jpg,19.404203,-99.170589,11,2
19.404218_-99.171705.jpg,19.404218,-99.171705,17,2
19.404224_-99.170087.jpg,19.404224,-99.170087,17,2
19.404228_-99.170462.jpg,19.404228,-99.170462,7,3
19.404310_-99.173522.jpg,19.40431,-99.173522,3,2
19.404330_-99.170112.jpg,19.40433,-99.170112,11,5
19.404337_-99.171755.jpg,19.404337,-99.171755,5,3
19.404341_-99.169838.jpg,19.404341,-99.169838,7,3
19.404357_-99.169756.jpg,19.404357,-99.169756,9,3
19.404372_-99.169677.jpg,19.404372,-99.169677,3,2
19.404399_-99.169542.jpg,19.404399,-99.169542,30,3
19.404410_-99.173829.jpg,19.40441,-99.173829,0,0
19.404448_-99.171763.jpg,19.404448,-99.171763,7,2
19.404499_-99.171184.jpg,19.404499,-99.171184,10,1
19.404500_-99.172154.jpg,19.4045,-99.172154,22,3
19.404531_-99.171031.jpg,19.404531,-99.171031,2,1
19.404566_-99.171768.jpg,19.404566,-99.171768,8,2
19.404575_-99.173566.jpg,19.404575,-99.173566,3,1
19.404585_-99.170666.jpg,19.404585,-99.170666,13,1
19.404585_-99.172071.jpg,19.404585,-99.172071,21,2
19.404609_-99.170550.jpg,19.404609,-99.17055,9,2
19.404623_-99.170852.jpg,19.404623,-99.170852,17,3
19.404645_-99.170184.jpg,19.404645,-99.170184,21,4
19.404663_-99.173685.jpg,19.404663,-99.173685,5,2
19.404676_-99.170036.jpg,19.404676,-99.170036,6,4
19.404677_-99.171791.jpg,19.404677,-99.171791,38,1
19.404685_-99.171149.jpg,19.404685,-99.171149,6,2
19.404690_-99.172067.jpg,19.40469,-99.172067,11,3
19.404692_-99.173522.jpg,19.404692,-99.173522,0,0
19.404694_-99.173778.jpg,19.404694,-99.173778,1,1
19.404697_-99.169936.jpg,19.404697,-99.169936,8,2
19.404723_-99.173862.jpg,19.404723,-99.173862,4,3
19.404771_-99.170645.jpg,19.404771,-99.170645,4,2
19.404780_-99.172050.jpg,19.40478,-99.17205,22,1
19.404783_-99.173961.jpg,19.404783,-99.173961,10,2
19.404787_-99.171800.jpg,19.404787,-99.1718,51,1
19.404788_-99.174079.jpg,19.404788,-99.174079,11,3
19.404795_-99.170220.jpg,19.404795,-99.17022,7,2
19.404815_-99.174158.jpg,19.404815,-99.174158,8,2
19.404830_-99.170015.jpg,19.40483,-99.170015,11,4
19.404846_-99.169626.jpg,19.404846,-99.169626,0,0
19.404860_-99.173591.jpg,19.40486,-99.173591,5,2
19.404861_-99.173458.jpg,19.404861,-99.173458,11,2
19.404863_-99.172018.jpg,19.404863,-99.172018,29,3
19.404890_-99.173685.jpg,19.40489,-99.173685,7,2
19.404893_-99.171796.jpg,19.404893,-99.171796,23,1
19.404896_-99.170958.jpg,19.404896,-99.170958,8,2
19.404901_-99.174434.jpg,19.404901,-99.174434,8,3
19.404920_-99.174559.jpg,19.40492,-99.174559,10,3
19.404929_-99.170252.jpg,19.404929,-99.170252,15,4
19.404934_-99.174076.jpg,19.404934,-99.174076,7,3
19.404945_-99.174636.jpg,19.404945,-99.174636,5,2
19.404948_-99.173861.jpg,19.404948,-99.173861,8,2
19.404964_-99.172001.jpg,19.404964,-99.172001,33,2
19.404980_-99.171814.jpg,19.40498,-99.171814,1,1
19.404983_-99.170052.jpg,19.404983,-99.170052,7,4
19.404999_-99.174398.jpg,19.404999,-99.174398,5,2
19.405013_-99.174575.jpg,19.405013,-99.174575,7,3
